,Sharp_Ratio_annl,Sortino_Ratio_annl,annual_return_strat_over_buyhold,atr_thrshld,days_in_trade,end,long_ma,mar,max_drawdown,max_drawdown_pct,mean_annl_pct_return_buyhold,mean_annl_pct_return_strat,mean_annl_pct_return_trd_avg,short_ma,start,tradesperyear,years,tck
0,0.12156325124698765,0.17654943780029703,-16.24883571230815,1.0,30,2017-03-13 00:00:00,50,0.11806745355143948,,41.0465949821,21.095102658799636,4.846266946491484,0.7734262374202496,15,1986-05-22 00:00:00,3.01652892562,30.83013698630137,MSFT
0,0.12892014466894533,0.19970754425301923,-16.439286763192083,1.5,10,2017-03-13 00:00:00,50,0.2125536802580218,,22.8824032703,21.303025791436923,4.86373902824484,4.184948666734131,15,1986-05-22 00:00:00,3.04896472052,30.83013698630137,MSFT
0,0.07773916613149279,0.11232402647134655,-18.209655711960778,1.5,20,2017-03-13 00:00:00,50,0.08356230063176302,,37.018728016,21.303025791436923,3.093370079476143,1.1203516351196794,15,1986-05-22 00:00:00,3.04896472052,30.83013698630137,MSFT
0,0.10617460079080078,0.1537230126799347,-17.087273500168543,1.5,30,2017-03-13 00:00:00,50,0.10270650447640975,,41.0465949821,21.303025791436923,4.215752291268382,0.728820085184156,15,1986-05-22 00:00:00,3.04896472052,30.83013698630137,MSFT
0,0.12406439139216897,0.1917518276075671,-19.00547591266186,0.0,10,2017-03-13 00:00:00,50,0.191167969696259,,23.8440531123,23.563695135478934,4.558219222817073,2.878831612004047,20,1986-05-22 00:00:00,2.82191415623,30.83013698630137,MSFT
0,0.0907500012020126,0.13153150096032803,-19.940813964908344,0.0,20,2017-03-13 00:00:00,50,0.09879654635410365,,36.6701195969,23.563695135478934,3.622881170570591,1.135213133482134,20,1986-05-22 00:00:00,2.82191415623,30.83013698630137,MSFT
0,0.13720869043604741,0.19974026380416673,-18.08482878683808,0.0,30,2017-03-13 00:00:00,50,0.12228815408338044,,44.802919708,23.563695135478934,5.478866348640854,0.9989049033217815,20,1986-05-22 00:00:00,2.82191415623,30.83013698630137,MSFT
0,0.12089790522208152,0.1861444806016423,-18.980801059271247,0.5,10,2017-03-13 00:00:00,50,0.17478534321396075,,25.358490566,23.41309353624421,4.4322924769729655,4.910482092504815,20,1986-05-22 00:00:00,2.82191415623,30.83013698630137,MSFT
0,0.08639359335125177,0.12494731726936775,-19.95597591201306,0.5,20,2017-03-13 00:00:00,50,0.09456889501122509,,36.5566037736,23.41309353624421,3.457117624231154,3.3683888591948765,20,1986-05-22 00:00:00,2.82191415623,30.83013698630137,MSFT
0,0.1342982538487313,0.19516150024713316,-18.04187099383654,0.5,30,2017-03-13 00:00:00,50,0.12240576885500003,,43.8804689734,23.41309353624421,5.371222542407672,2.9763736847440025,20,1986-05-22 00:00:00,2.82191415623,30.83013698630137,MSFT
0,0.10411108462619324,0.15563350002054685,-19.671468709876326,1.0,10,2017-03-13 00:00:00,50,0.20073463933040148,,18.9056356488,23.466484663140918,3.795015953264591,2.436560966390098,20,1986-05-22 00:00:00,2.82191415623,30.83013698630137,MSFT
0,0.08682459716197156,0.12486465391347373,-20.029377795692916,1.0,20,2017-03-13 00:00:00,50,0.12945351903888763,,26.5508955876,23.466484663140918,3.437106867448003,1.6821884971915864,20,1986-05-22 00:00:00,2.82191415623,30.83013698630137,MSFT
0,0.14363847878150102,0.20881337969105765,-17.76219175279492,1.0,30,2017-03-13 00:00:00,50,0.12999617013672263,,43.8804689734,23.466484663140918,5.704292910345998,1.3590448508364519,20,1986-05-22 00:00:00,2.82191415623,30.83013698630137,MSFT
0,0.08167266551335639,0.12075579292173186,-20.2547277691256,1.5,10,2017-03-13 00:00:00,50,0.15453343426017696,,18.9056356488,23.17628057279917,2.921552803673566,1.6065540251114967,20,1986-05-22 00:00:00,2.98409313072,30.83013698630137,MSFT
0,0.08885927749474842,0.12785848883467532,-19.631121547260967,1.5,20,2017-03-13 00:00:00,50,0.13352314289521777,,26.5508955876,23.17628057279917,3.5451590255382026,0.8761285548111669,20,1986-05-22 00:00:00,2.98409313072,30.83013698630137,MSFT
0,0.11895426881775394,0.17224661037927264,-18.41429920309845,1.5,30,2017-03-13 00:00:00,50,0.1085216608005443,,43.8804689734,23.17628057279917,4.7619813697007185,0.7062529377196177,20,1986-05-22 00:00:00,2.98409313072,30.83013698630137,MSFT
0,0.027325396130411878,0.03891910745653674,-19.716321121388635,0.0,10,2017-03-13 00:00:00,60,0.04437662954454419,,22.7490676612,20.72584806947184,1.0095269480832059,3.065611418456969,5,1986-06-06 00:00:00,3.8974906567,30.78904109589041,MSFT
0,0.06720920381749397,0.09595028922204239,-18.179274559257006,0.0,20,2017-03-13 00:00:00,60,0.06321249916693472,,40.2859172438,20.72584806947184,2.5465735102148335,1.0336691208486062,5,1986-06-06 00:00:00,3.8974906567,30.78904109589041,MSFT
0,0.12041008731937315,0.17515034520057526,-16.039585147897093,0.0,30,2017-03-13 00:00:00,60,0.116325089316228,,40.2859172438,20.72584806947184,4.686262921574746,0.5153683191021606,5,1986-06-06 00:00:00,3.8974906567,30.78904109589041,MSFT
0,0.03479509527785582,0.04975597233689064,-19.17382246469268,0.5,10,2017-03-13 00:00:00,60,0.0564651028343493,,22.7490676612,20.458350909565826,1.2845284448731453,3.0702294480750636,5,1986-06-06 00:00:00,3.80005339028,30.78904109589041,MSFT
0,0.05761154906111708,0.08190705948575158,-18.272980827635,0.5,20,2017-03-13 00:00:00,60,0.054246501791280495,,40.2859172438,20.458350909565826,2.1853700819308264,1.0466667925746806,5,1986-06-06 00:00:00,3.80005339028,30.78904109589041,MSFT
0,0.11338472362682733,0.16477103696237178,-16.047552705985346,0.5,30,2017-03-13 00:00:00,60,0.10948734707674969,,40.2859172438,20.458350909565826,4.410798203580479,0.5227521018808535,5,1986-06-06 00:00:00,3.80005339028,30.78904109589041,MSFT
0,0.023404336469366342,0.033330921016165097,-19.0498541954399,1.0,10,2017-03-13 00:00:00,60,0.03795844722812101,,22.7490676612,19.91337347974511,0.8635192843052142,3.0724751697800423,5,1986-06-06 00:00:00,3.86501156789,30.78904109589041,MSFT
0,0.06551871284973312,0.09349022118093667,-17.442049008776706,1.0,20,2017-03-13 00:00:00,60,0.061344624624300306,,40.2859172438,19.91337347974511,2.4713244709684057,1.0992378590967526,5,1986-06-06 00:00:00,3.86501156789,30.78904109589041,MSFT
0,0.10538167317156184,0.15311645391545856,-15.829750875975733,1.0,30,2017-03-13 00:00:00,60,0.10136600785463708,,40.2859172438,19.91337347974511,4.083622603769377,0.5489920347502193,5,1986-06-06 00:00:00,3.86501156789,30.78904109589041,MSFT
0,0.03166324417623141,0.04535692093484997,-18.857014191217438,1.5,10,2017-03-13 00:00:00,60,0.051074866391046,,22.7490676612,20.01891978253221,1.1619055913147713,2.9547627219230637,5,1986-06-06 00:00:00,3.86501156789,30.78904109589041,MSFT
0,0.07211001404458366,0.10290547285993949,-17.314254658841243,1.5,20,2017-03-13 00:00:00,60,0.0671367393057227,,40.2859172438,20.01891978253221,2.7046651236909636,1.1669541925055478,5,1986-06-06 00:00:00,3.86501156789,30.78904109589041,MSFT
