,Sharp Ratio annl,Sortino Ratio annl,atr thrshld,days in trade,end,long ma,mar,max drawdown,mean annl pct return,mean annl pct return buyhold,mean annl pct return strat,mean annl pct return trd avg,short ma,start,years
0,0.042536890278326966,0.0666362720346702,1.5,25,2017-03-09 00:00:00,100,0.05400401813597799,0.526315789474,,4.334514807602385,2.8423167439988406,346.22607945022673,20,1993-07-08 00:00:00,23.684931506849313
0,-0.0327656164839268,-0.04482903634504683,2.0,5,2017-03-09 00:00:00,100,-0.10843826846403863,0.167179487179,,4.49340986019684,-1.812865411244946,447.13073485289135,20,1993-07-08 00:00:00,23.684931506849313
0,-0.010283085033363467,-0.016031484096852622,2.0,15,2017-03-09 00:00:00,100,-0.023267593841710305,0.326366559486,,4.49340986019684,-0.7593764549625015,1085.8347513975564,20,1993-07-08 00:00:00,23.684931506849313
0,0.053207416915293855,0.0838630514514732,2.0,25,2017-03-09 00:00:00,100,0.08045408028032683,0.456937799043,,4.49340986019684,3.676251036732636,330.38625820206147,20,1993-07-08 00:00:00,23.684931506849313
0,0.02527282642482341,0.04206414229517432,0.5,5,2017-03-09 00:00:00,100,0.11839536666631535,0.16,,6.497939551203813,1.8943258666611618,118347636.49975024,30,1993-07-08 00:00:00,23.684931506849313
0,0.034387914763473616,0.05635526882582568,0.5,15,2017-03-09 00:00:00,100,0.08519884662200723,0.3096,,6.497939551203813,2.637756291417448,43209.535104901166,30,1993-07-08 00:00:00,23.684931506849313
0,0.04819183567684428,0.07624228305981261,0.5,25,2017-03-09 00:00:00,100,0.0435252580530847,0.823218997361,,6.497939551203813,3.583081929435994,315.18285633962677,30,1993-07-08 00:00:00,23.684931506849313
0,0.02036738023031356,0.03390023403771233,1.0,5,2017-03-09 00:00:00,100,0.09560188108191164,0.157032755299,,5.823492489518767,1.5012626798026396,118347775.85936877,30,1993-07-08 00:00:00,23.684931506849313
0,0.02876163632040722,0.04704348449242664,1.0,15,2017-03-09 00:00:00,100,0.0709780846172305,0.3096,,5.823492489518767,2.197481499749543,43209.23108588801,30,1993-07-08 00:00:00,23.684931506849313
0,0.033538890811434185,0.052490114305893266,1.0,25,2017-03-09 00:00:00,100,0.03038558120984505,0.823218997361,,5.823492489518767,2.5013987697814377,293.7525374550259,30,1993-07-08 00:00:00,23.684931506849313
