,start,end,years,mean annl pct return,max drawdown,mar,Sortino Ratio annl,Sharp Ratio annl,long ma,short ma,atr thrshld,days in trade
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,11.560039392245503,0.400621118012,0.2885529212638027,0.29905589069320676,0.16993214577281543,260,40,0.5,60
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,4.697671548102456,0.255707762557,0.18371251232756844,0.11602849122397478,0.06974849771209707,260,40,1.0,30
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,7.668235380448252,0.369863013699,0.20732636398988888,0.18868712591625206,0.10903064233831462,260,40,1.0,40
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,9.906014298446376,0.400621118012,0.24726640341858416,0.24482122659402514,0.13791729579092457,260,40,1.0,50
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,11.085213450411802,0.400621118012,0.27670067682423277,0.2792053273188933,0.15853225680733457,260,40,1.0,60
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,4.611902879209118,0.255707762557,0.18035834474048987,0.11391007806032939,0.06852268039197058,260,40,1.5,30
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,7.490747759119776,0.369863013699,0.20252762459841547,0.18427653741927397,0.10654047220060597,260,40,1.5,40
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,9.739097253633776,0.400621118012,0.24309994695116885,0.2406737209720724,0.13563178424389707,260,40,1.5,50
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,10.675740208303065,0.400621118012,0.26647971682741006,0.26748319252386565,0.1524260024015408,260,40,1.5,60
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,7.912162997253591,0.261637239165,0.3024096654778522,0.20578422481916683,0.11134197064407446,260,40,2.0,30
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,9.897751754002915,0.369863013699,0.2676058807563644,0.25506757921724615,0.13887785170659733,260,40,2.0,40
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,11.124829285624017,0.414125200642,0.26863444360247135,0.2831491635952114,0.15696239678982324,260,40,2.0,50
