,0,1,2,3,aapl_return_pct,amzn_return_pct,cof_return_pct,return_annualized,sharpe_ratio,xom_return_pct
0,,,,,0.55,0.05,0.25,22.404917687516797,0.28384331386677103,0.05
0,,,,,0.55,0.05,0.35,23.27597407817178,0.2678996676507136,0.05
0,,,,,0.55,0.05,0.45,24.147030468826806,0.251948007398774,0.05
0,,,,,0.55,0.05,0.55,25.018086859481798,0.23702157756878436,0.05
0,,,,,0.55,0.05,0.65,25.88914325013682,0.22351770343194394,0.05
0,,,,,0.55,0.05,0.75,26.76019964079183,0.21149943952646486,0.05
0,,,,,0.65,0.05,0.05,23.97975066741705,0.30486109868600825,0.05
0,,,,,0.65,0.05,0.15,24.850807058072046,0.29856037570181154,0.05
0,,,,,0.65,0.05,0.25,25.721863448727056,0.28779536347026113,0.05
0,,,,,0.65,0.05,0.35,26.592919839382056,0.27477346790355595,0.05
0,,,,,0.65,0.05,0.45,27.463976230037083,0.2611001019716665,0.05
0,,,,,0.65,0.05,0.55,28.3350326206921,0.2477516471534794,0.05
0,,,,,0.65,0.05,0.65,29.206089011347075,0.2352336051500105,0.05
0,,,,,0.65,0.05,0.75,30.077145402002095,0.22375394959601388,0.05
0,,,,,0.75,0.05,0.05,27.29669642862731,0.3036984090060158,0.05
0,,,,,0.75,0.05,0.15,28.16775281928232,0.29891060632645094,0.05
0,,,,,0.75,0.05,0.25,29.038809209937337,0.2903800124176162,0.05
0,,,,,0.75,0.05,0.35,29.909865600592333,0.2796448989298735,0.05
0,,,,,0.75,0.05,0.45,30.78092199124736,0.26793740512007636,0.05
0,,,,,0.75,0.05,0.55,31.65197838190236,0.256105732891943,0.05
0,,,,,0.75,0.05,0.65,32.52303477255739,0.24466651448201884,0.05
0,,,,,0.75,0.05,0.75,33.39409116321238,0.2338963905036044,0.05
0,,,,,0.05,0.05,0.05,4.8722870201849,0.27282517063170686,0.15
0,,,,,0.05,0.05,0.15,5.743343410839912,0.21306553745615314,0.15
0,,,,,0.05,0.05,0.25,6.6143998014949155,0.17351880077502582,0.15
0,,,,,0.05,0.05,0.35,7.485456192149925,0.14975960339605338,0.15
0,,,,,0.05,0.05,0.45,8.356512582804937,0.13446216563164892,0.15
0,,,,,0.05,0.05,0.55,9.227568973459942,0.1239171051712657,0.15
0,,,,,0.05,0.05,0.65,10.098625364114952,0.11624742322560279,0.15
0,,,,,0.05,0.05,0.75,10.969681754769956,0.11043325909508231,0.15
0,,,,,0.15,0.05,0.05,8.189232781395178,0.3039205805971553,0.15
0,,,,,0.15,0.05,0.15,9.060289172050181,0.2621755108101245,0.15
0,,,,,0.15,0.05,0.25,9.931345562705195,0.2231196744914364,0.15
0,,,,,0.15,0.05,0.35,10.802401953360201,0.19442409795416238,0.15
0,,,,,0.15,0.05,0.45,11.673458344015204,0.17379419420827905,0.15
0,,,,,0.15,0.05,0.55,12.54451473467022,0.15861466804829719,0.15
0,,,,,0.15,0.05,0.65,13.415571125325236,0.14710427625349365,0.15
0,,,,,0.15,0.05,0.75,14.286627515980236,0.13812753558779373,0.15
0,,,,,0.25,0.05,0.05,11.506178542605447,0.30880352368424524,0.15
0,,,,,0.25,0.05,0.15,12.377234933260459,0.28268470581621935,0.15
0,,,,,0.25,0.05,0.25,13.248291323915467,0.25196636422656404,0.15
0,,,,,0.25,0.05,0.35,14.11934771457048,0.22519961367448899,0.15
0,,,,,0.25,0.05,0.45,14.990404105225489,0.20369200413979566,0.15
0,,,,,0.25,0.05,0.55,15.861460495880502,0.18667179209401277,0.15
0,,,,,0.25,0.05,0.65,16.7325168865355,0.17311297245897653,0.15
0,,,,,0.25,0.05,0.75,17.603573277190513,0.16216451914332283,0.15
0,,,,,0.35,0.05,0.05,14.823124303815732,0.30869313881616606,0.15
0,,,,,0.35,0.05,0.15,15.694180694470742,0.2916803076017161,0.15
0,,,,,0.35,0.05,0.25,16.56523708512575,0.2686122471829277,0.15
0,,,,,0.35,0.05,0.35,17.43629347578075,0.2458503023851769,0.15
0,,,,,0.35,0.05,0.45,18.307349866435775,0.22576559350453923,0.15
0,,,,,0.35,0.05,0.55,19.17840625709077,0.20875718540459745,0.15
0,,,,,0.35,0.05,0.65,20.04946264774578,0.19452513475033664,0.15
0,,,,,0.35,0.05,0.75,20.920519038400776,0.18260842826933157,0.15
0,,,,,0.45,0.05,0.05,18.140070065026002,0.3075704429334856,0.15
0,,,,,0.45,0.05,0.15,19.011126455681012,0.295885187859394,0.15
0,,,,,0.45,0.05,0.25,19.88218284633603,0.2784917810081121,0.15
0,,,,,0.45,0.05,0.35,20.75323923699103,0.2597356128314894,0.15
0,,,,,0.45,0.05,0.45,21.624295627646042,0.24191247916927833,0.15
0,,,,,0.45,0.05,0.55,22.495352018301055,0.2259122455997367,0.15
0,,,,,0.45,0.05,0.65,23.366408408956055,0.2119058190652306,0.15
0,,,,,0.45,0.05,0.75,24.237464799611068,0.19976126324572724,0.15
0,,,,,0.55,0.05,0.05,21.457015826236294,0.30633178295330044,0.15
0,,,,,0.55,0.05,0.15,22.328072216891286,0.29792901416157863,0.15
0,,,,,0.55,0.05,0.25,23.19912860754631,0.2845766716650097,0.15
0,,,,,0.55,0.05,0.35,24.070184998201334,0.2692195659148152,0.15
