,start,end,years,tradesperyear,mean_annl_pct_return_strat,mean_annl_pct_return_buyhold,annual_return_strat_over_buyhold,mean_annl_pct_return_trd_avg,max_drawdown_pct,mar,Sortino_Ratio_annl,Sharp_Ratio_annl,long_ma,short_ma,atr_thrshld,days_in_trade,tck
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.47619047619,-1.3766337789662186,12.63244424644494,-14.00907802541116,1.1456493858021821,36.0194511983,-0.03821917694931419,-0.04623600957705198,-0.032410393385996036,50,10,1.0,20,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.47619047619,-1.7807788583517503,12.63244424644494,-14.41322310479669,0.6395755638652129,48.4742441209,-0.03673659879891683,-0.05524307070217939,-0.039361181557959216,50,10,1.0,30,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.53050595238,1.3492113351111668,12.50096447500113,-11.151753139889962,3.557340911389424,24.9299719888,0.05412005018367303,0.04543637574540727,0.03169314573634292,50,10,1.5,10,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.53050595238,0.09277883184994895,12.50096447500113,-12.408185643151182,1.6363604605831423,35.5042016807,0.002613178932578458,0.003109540691927343,0.0021440500737816303,50,10,1.5,20,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.53050595238,-0.42798126623776467,12.50096447500113,-12.928945741238895,0.7970945910872879,48.4742441209,-0.008829044660706295,-0.013269352618012922,-0.009363479835176639,50,10,1.5,30,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,2.93303571429,2.0718653287744138,12.829216863810533,-10.757351535036118,4.379777010995629,18.9473684211,0.10934844790754354,0.0745953573049247,0.05077481120761402,50,15,0.0,10,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,2.93303571429,1.539693104719797,12.829216863810533,-11.289523759090736,1.6190468657474586,39.8498293515,0.038637382638136944,0.05105859112233459,0.035653284934673304,50,15,0.0,20,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,2.93303571429,0.035301138141097255,12.829216863810533,-12.793915725669436,0.6814616154466202,49.747440273,0.0007096071264641446,0.001135794808083844,0.0008055466502690204,50,15,0.0,30,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.01450892857,2.215951864451826,12.752055010685282,-10.536103146233456,3.6947722455679872,18.9473684211,0.11695301506829621,0.08025534150824212,0.05443989183753594,50,15,0.5,10,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.01450892857,2.108274564910806,12.752055010685282,-10.643780445774476,1.8177446168526685,39.8498293515,0.05290548539901058,0.07033666152097486,0.04895910674010149,50,15,0.5,20,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.01450892857,0.4108501715201385,12.752055010685282,-12.341204839165144,0.7975135294288639,49.747440273,0.008258719830913771,0.013256245665749027,0.00937515508028821,50,15,0.5,30,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.01450892857,1.9965427892248977,12.689505974355097,-10.6929631851302,3.700947089162025,18.7752355316,0.10633916074510351,0.07257138749849613,0.049294682225422916,50,15,1.0,10,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.01450892857,1.9142348668460984,12.689505974355097,-10.775271107508999,1.5609425418632734,39.8498293515,0.0480362124002989,0.06398028830024412,0.04452753824465899,50,15,1.0,20,INTC
