,0,1,2,3,4,5,sharpe_ratio,return_annualized,amzn_return_pct,xom_return_pct,aapl_return_pct,cof_return_pct
0,,,,,,,0.2878454410392528,32.30935806441628,0.05,0.15,0.55,0.35
0,,,,,,,0.2828095133650446,34.356927938390385,0.05,0.15,0.55,0.45
0,,,,,,,0.2765419742698906,36.40449781236446,0.05,0.15,0.55,0.55
0,,,,,,,0.2697978896135226,38.45206768633859,0.05,0.15,0.55,0.65
0,,,,,,,0.2630342287212348,40.499637560312664,0.05,0.15,0.55,0.75
0,,,,,,,0.27844802361667936,30.045485289220053,0.05,0.15,0.65,0.05
0,,,,,,,0.28550951088008175,32.09305516319415,0.05,0.15,0.65,0.15
0,,,,,,,0.2881405848481314,34.14062503716828,0.05,0.15,0.65,0.25
0,,,,,,,0.2874031310960562,36.18819491114235,0.05,0.15,0.65,0.35
0,,,,,,,0.2843481051138648,38.23576478511646,0.05,0.15,0.65,0.45
0,,,,,,,0.2798488348221449,40.28333465909056,0.05,0.15,0.65,0.55
0,,,,,,,0.2745555203608722,42.330904533064626,0.05,0.15,0.65,0.65
0,,,,,,,0.2689166645694968,44.37847440703877,0.05,0.15,0.65,0.75
0,,,,,,,0.27540679328526885,33.92432213594614,0.05,0.15,0.75,0.05
0,,,,,,,0.28233501295426827,35.97189200992024,0.05,0.15,0.75,0.15
0,,,,,,,0.28573499514985173,38.01946188389434,0.05,0.15,0.75,0.25
0,,,,,,,0.286281332190327,40.06703175786842,0.05,0.15,0.75,0.35
0,,,,,,,0.2846944953577194,42.114601631842554,0.05,0.15,0.75,0.45
0,,,,,,,0.28162575886617747,44.162171505816616,0.05,0.15,0.75,0.55
0,,,,,,,0.2776051158249884,46.20974137979071,0.05,0.15,0.75,0.65
0,,,,,,,0.2730336504476011,48.257311253764826,0.05,0.15,0.75,0.75
0,,,,,,,0.28802591972533287,7.6495754845741475,0.05,0.25,0.05,0.05
0,,,,,,,0.2655442648218374,9.697145358548234,0.05,0.25,0.05,0.15
0,,,,,,,0.24107221015763616,11.744715232522344,0.05,0.25,0.05,0.25
0,,,,,,,0.22300243651416937,13.79228510649643,0.05,0.25,0.05,0.35
0,,,,,,,0.2100138193960399,15.839854980470541,0.05,0.25,0.05,0.45
0,,,,,,,0.20044173605609317,17.887424854444625,0.05,0.25,0.05,0.55
0,,,,,,,0.1931645011404284,19.93499472841873,0.05,0.25,0.05,0.65
0,,,,,,,0.18747248972389913,21.982564602392824,0.05,0.25,0.05,0.75
0,,,,,,,0.30790125124268813,11.528412331300228,0.05,0.25,0.15,0.05
0,,,,,,,0.29639655049701014,13.575982205274322,0.05,0.25,0.15,0.15
0,,,,,,,0.27594001108120875,15.623552079248428,0.05,0.25,0.15,0.25
0,,,,,,,0.2570690176799739,17.671121953222503,0.05,0.25,0.15,0.35
0,,,,,,,0.24168669895434267,19.718691827196622,0.05,0.25,0.15,0.45
0,,,,,,,0.2294417299294414,21.76626170117071,0.05,0.25,0.15,0.55
0,,,,,,,0.21964933852635707,23.813831575144796,0.05,0.25,0.15,0.65
0,,,,,,,0.21171674302802843,25.86140144911891,0.05,0.25,0.15,0.75
0,,,,,,,0.3035341493949507,15.40724917802629,0.05,0.25,0.25,0.05
0,,,,,,,0.3020044395365838,17.454819052000396,0.05,0.25,0.25,0.15
0,,,,,,,0.29020586897528683,19.502388925974486,0.05,0.25,0.25,0.25
0,,,,,,,0.2758400240125609,21.549958799948595,0.05,0.25,0.25,0.35
0,,,,,,,0.2621522706005414,23.59752867392269,0.05,0.25,0.25,0.45
0,,,,,,,0.2501097856757891,25.64509854789678,0.05,0.25,0.25,0.55
0,,,,,,,0.23980051131030203,27.69266842187088,0.05,0.25,0.25,0.65
0,,,,,,,0.231034579475201,29.740238295844982,0.05,0.25,0.25,0.75
0,,,,,,,0.2965596045562031,19.28608602475238,0.05,0.25,0.35,0.05
0,,,,,,,0.29987893465496773,21.333655898726484,0.05,0.25,0.35,0.15
0,,,,,,,0.29446976320844587,23.381225772700585,0.05,0.25,0.35,0.25
0,,,,,,,0.28501984802928215,25.428795646674676,0.05,0.25,0.35,0.35
0,,,,,,,0.27439654252297485,27.476365520648784,0.05,0.25,0.35,0.45
0,,,,,,,0.2640119643153539,29.52393539462285,0.05,0.25,0.35,0.55
0,,,,,,,0.254443675277656,31.571505268596972,0.05,0.25,0.35,0.65
0,,,,,,,0.2458589343626906,33.61907514257105,0.05,0.25,0.35,0.75
0,,,,,,,0.29046876532714555,23.164922871478446,0.05,0.25,0.45,0.05
0,,,,,,,0.29590766813704145,25.21249274545257,0.05,0.25,0.45,0.15
0,,,,,,,0.29444845383429935,27.260062619426666,0.05,0.25,0.45,0.25
0,,,,,,,0.2888583507076225,29.30763249340078,0.05,0.25,0.45,0.35
0,,,,,,,0.2812490933294106,31.35520236737486,0.05,0.25,0.45,0.45
0,,,,,,,0.2729545177005144,33.40277224134893,0.05,0.25,0.45,0.55
